id,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
1,Melanoma,157.4984662,142.5338972,143.3300546,141.4137639,117.3665238,92.44071707,75.49809004,59.36082883,35.20511596,21.02890538,26.77399513,45.16782572,55.53207326,52.31780384,38.26416396,20.10638866,9.233029413,3.7806826,-2.123333682,-1.832170462,21.14576881,44.98422774,24.22511188,-1.29231446,2.289277051,21.56795017,-0.011551875,-21.23056224,-14.40996475,-6.325022881,12.53771676,29.81774676,40.93190218,81.98305027,84.55256981,49.22329622,64.28948226,78.83541482,76.13629232,83.35158266,114.7613516,113.5343284,68.23034411,34.37552715,28.20351851,10.79024096,-28.07403009,-18.16200861,5.773888927,4.693828168,-11.85560002,-0.547531813,25.62030696,34.6111334,23.18308389,8.676322637,-5.7979924,-17.72147756,8.21727698,51.27614552,69.64171251,49.5850299,39.52606847,38.91995029,29.82433255,41.87743493,27.4035093,-4.098880249,17.55828075,45.3823833,65.77290645,76.15032085,52.20511009,48.9041173,75.14044998,89.12996459,81.23548277,53.86327426,28.1534874,30.36247607,35.02491168,32.62809929,32.28092249,38.06296475,34.8482399,31.25343374,47.47237702,57.70524503,43.05797002,23.09399802,39.22491527,57.45019632,52.63845244,35.5396368,37.70399027,41.11680878,48.61397041,81.69150538,111.2985641,109.5722769,84.64732187,71.29752609,55.00032151,38.78293764,31.01488365,19.70628983,16.98154119,20.17986448,13.01743794,-2.434581802,-11.02593781,-4.516017045,9.723109739,19.88191649,43.69238008,82.59448323,99.41589958,103.7469898,93.46814381,68.50856908,62.3516631,77.42319928,114.8130073,156.5503621,132.6742931,107.3297707,109.2608733,82.21996949,59.16791275,42.51330243,33.98357957,53.27786064,46.80131341,36.54943235,60.19202365,80.12447579,106.1943197,124.9180235,114.5967128,104.0197818,105.0444846,114.9221076,138.2437706,198.5161092,223.8390068,183.7058819,137.33181,110.4430788,88.92758352,68.42320815,74.88228099,110.3664985,140.9116706,155.1248855,188.1986664,209.968099,199.5661019,186.7398306,222.6656195,214.3303316,168.8550848,153.8639052,137.1292396,106.6940272,91.08117396,104.1758799,95.7808163,139.4022574,190.7613116,149.4257529,133.990192,117.5565486,94.85075248,124.7354405,176.5151346,188.5719808,166.549338,168.7926949,178.348695,181.4836919,166.3453688,128.7156681,100.3589374,72.19917956,36.9992545,22.28568679,60.32376683,103.9754625,109.8405286,100.2057212,121.8983129,129.967734,102.5185786,84.10366997,55.70550847,40.7387151,53.38157713,67.06481914,75.34904322,87.42179784,107.4940615
2,Melanoma,97.60427246,92.95106055,92.13914747,87.44195168,72.82062653,54.11473462,39.85474924,29.09848201,15.38616244,6.530233923,11.22302113,25.77867426,29.61876425,21.6133458,12.30507805,10.03105159,3.589293282,-3.281008918,-1.892181078,2.905885557,17.07044738,29.65519605,16.53730784,-3.503211927,-4.305744318,12.9768877,5.672860827,-9.225098761,-11.61659943,-7.116734408,4.034273967,15.14290465,24.66553855,45.75923865,51.80811625,39.30369994,40.00313814,49.30029409,49.35269889,36.60938264,35.17293494,37.35541438,26.37561433,2.202080291,-1.281849981,1.282258727,-9.299147639,-6.796771699,0.213111924,0.157225585,-1.803089242,13.15952453,28.3104301,26.57831947,20.21707707,8.526727301,-5.445393036,-9.612885484,8.502303888,31.88100972,39.69254238,32.82886527,39.73125425,45.34391158,31.30708047,36.17701522,31.85689082,16.01452709,24.69615864,28.11891688,32.77825111,46.93743005,41.72275627,31.97585967,37.63333667,56.28925123,56.9426928,43.23044054,31.9562601,29.42171554,28.21425639,22.88544058,16.44751656,18.62317972,25.75670584,32.09520086,36.12209628,38.74586921,29.640374,15.06979318,20.92232974,32.05713242,32.27524241,23.9961059,26.7224178,32.02986866,41.66626551,60.4619317,55.65416885,49.16655181,52.89677098,39.61824425,29.63075141,27.87786711,23.3034072,12.53599917,9.986494754,6.381906548,-8.7450898,2.528317445,15.16946019,16.0226232,24.74263661,14.89302037,10.14813178,28.254104,37.52591683,48.4362621,47.74542553,27.12726222,28.12036859,36.660311,48.60745769,70.05801308,67.66481735,58.07240288,58.31152579,58.11703791,52.55191026,42.02578775,36.89606392,46.8121203,39.55321754,24.52751787,28.77452721,44.86402247,52.8521058,50.82758973,51.91199632,61.21463552,64.76326915,67.55830912,84.42047339,94.48883252,101.2061596,98.64998382,74.27526575,68.18637011,59.34947059,37.6911833,41.89397778,53.12811278,70.32360847,90.36213988,89.4740078,91.86508994,89.59428241,77.26881195,91.93534949,93.56096838,81.02044763,79.07039281,70.74913969,66.26200832,68.14683119,65.64504745,59.03764023,74.09923843,93.59372286,82.54815051,75.17365104,72.98310368,69.01330591,71.5256573,95.25371848,101.6878789,85.96011989,88.23854568,98.82650562,94.12401999,79.34018121,77.48924806,65.57326437,53.04202011,42.9497909,25.55739001,38.94203267,60.2004628,61.47385403,56.3916552,65.96905122,69.12210024,57.84351399,52.61867305,32.98373347,13.52465073,13.830795,27.03059755,34.37211722,41.83924997,54.83239223
3,Melanoma,17.93642654,13.90241804,13.19360307,15.83079142,16.55195466,10.16604667,5.974085102,6.339647617,4.487090097,2.408162805,0.543101886,-1.953013007,-3.955986065,-1.75267392,1.126575685,-2.669124281,-3.985961254,-1.626944392,-0.201806087,0.206226636,3.664807654,7.282850589,3.012530415,-1.412118269,-0.251812144,4.506916013,4.729952908,1.395489486,0.610012115,5.537013863,5.658835388,5.194877346,11.46463748,14.89930735,15.16713793,15.98752613,18.38296797,16.88547933,15.14633695,16.54618601,13.15231568,11.43948416,10.58850305,3.431549969,5.925679429,11.27074344,9.584440084,12.25460795,13.77711686,10.87757178,8.580160233,10.05836069,12.08587046,10.8926847,8.0370444,9.215251013,11.75531904,10.6540853,13.74676435,17.64432651,18.86325832,19.83691466,14.64623153,10.10432067,13.95214884,15.45949033,15.50634758,15.42096363,13.02572062,12.28557725,13.21346458,12.89408976,10.34697308,11.71297144,14.15271607,11.97905875,14.61825312,17.54208388,15.87626492,13.42436482,11.5359711,12.42407322,14.87917416,12.14526688,11.68692387,12.24898988,6.391982298,4.607691708,6.373381686,7.399591715,7.635874313,5.900555671,3.213743445,3.198572041,8.781031993,11.20937914,9.578426051,10.35627521,9.642986122,8.739178808,9.422645161,9.782577571,8.912806155,8.907526267,10.42416479,8.990875249,3.201117755,-1.250818409,1.365244393,4.948319423,5.560749884,3.361436101,0.588135265,-2.183627213,-0.669585749,4.443843737,5.201453122,7.81099771,8.751472515,4.841471383,8.76604236,11.57412461,12.21809881,16.80256615,14.61340101,11.85029446,12.91032379,12.55714228,13.09688235,11.18650528,7.228454408,8.177173925,4.320481314,-0.57944152,1.192833962,3.847859227,5.803338939,5.646899254,5.137430398,11.89710328,13.23192618,10.69143648,16.85471124,18.67167605,15.43454,12.68538821,12.5538287,11.99856977,12.23991514,13.17199546,10.88132297,7.794496477,10.52561371,18.15739955,19.06225066,15.48145838,15.32598989,19.69650807,18.6721899,15.50237641,12.26575246,9.101426161,9.591985855,10.9851801,11.84760414,11.59363046,7.032771954,8.240775705,12.53813907,9.711911323,10.00165512,12.35835794,13.52353361,15.37724449,21.23241296,21.74693055,18.67707533,23.01484097,23.07448491,20.04697126,16.71396008,11.72869143,11.62306583,14.05080879,14.5549269,13.04829837,11.8054943,12.8974712,14.04813851,10.86873347,7.349764398,7.471118377,10.86087513,11.96010193,4.635402035,1.029866801,3.833462104,1.318795319,6.233693168,13.61834064,15.23875217
4,Melanoma,61.18326699,62.22758181,65.89933193,65.35524327,51.84236722,30.85530722,24.18578067,28.32569718,21.69005967,19.68800884,15.37687657,4.866238887,14.91459604,21.38542828,14.06360107,10.07430977,-6.12644112,-19.88587076,-11.9847314,-1.15987728,7.102444329,13.87874176,16.4755031,3.581050992,-5.516928327,7.509534216,16.60540567,12.58528125,1.938315037,-3.469631139,0.033700829,15.6608866,40.00755848,57.00064603,65.41839317,65.72800296,57.17987505,52.24510564,43.13843756,23.8949209,16.06424989,10.67389957,3.974243758,7.579913026,19.02985395,25.0346432,20.77946494,21.34232307,24.8695788,35.91652675,58.9647286,65.74916037,59.94839574,58.10574789,60.28014899,50.65454887,32.76394209,22.44556425,16.6618918,21.59634622,36.22482779,45.50590066,47.22161167,40.17084881,30.24014185,35.28061613,36.45320843,27.12344185,24.96445303,29.19527433,36.57619539,38.60334275,25.81214597,30.65160493,46.63224039,47.16886692,61.99807175,71.75780462,60.7583723,50.5815588,52.27496236,48.08734801,26.0067334,14.33118994,26.92372786,44.92616454,37.49349828,10.27681661,-17.47269902,-24.61177832,-2.532134321,19.51343552,19.4650299,9.035694757,28.10204834,44.18621578,45.45240924,53.62831306,59.22285699,63.72982874,63.54242412,46.91271931,34.02198336,30.31075795,29.88266732,31.15725063,22.94320421,15.39834238,24.27373887,28.64859088,16.11283536,4.237363444,16.73027166,16.04282021,13.5110332,29.7360699,47.70287727,55.82169225,49.67218062,41.1123229,57.11532899,76.29210003,86.12804312,95.32193668,102.0920817,91.43362528,70.0409228,64.29191445,64.64900599,54.10975301,38.82600152,42.14734603,30.0913459,17.01051723,22.30424809,9.523780336,-5.624861257,4.641007292,39.84728971,59.25377598,70.9874396,80.65669345,85.28888864,111.8874424,145.4391619,146.166683,103.5528808,93.93950269,90.9358636,66.9544919,62.8922818,66.37805442,63.93369099,65.54151532,90.53882532,99.9089084,86.44510153,72.8313567,72.88442974,86.50163561,96.51582885,92.19100769,90.87563339,87.06659546,71.05423137,51.13179956,60.29762952,100.420651,126.2521122,101.2810438,79.13660102,74.90935447,73.49748412,66.89486557,79.12026941,77.50495952,68.82403956,89.74567182,74.33107813,54.90416663,64.06081072,74.75625328,70.64690268,56.93408167,47.62037549,47.81627383,42.91546473,53.92247131,75.32569911,69.39235688,67.61327864,72.68729928,78.14869617,86.73584094,82.49373807,62.63095754,44.06065096,49.111491,73.10189203,85.82682602,83.21602321
5,Melanoma,223.3218891,229.0585129,230.5622043,212.3509843,173.4013472,134.8650589,99.81378996,77.21861134,76.4866193,72.13330077,74.75763115,88.38777781,67.35219365,31.28108053,15.01410622,24.69562288,16.67896552,-8.049720786,-24.40273017,-27.74930829,14.29886499,75.29249389,76.67974215,45.86677378,27.16160062,31.78531582,20.43654891,-15.48978471,-34.86049044,9.044693744,45.30867967,71.79758137,110.3862974,110.5122193,94.39593033,94.08124525,105.8385317,96.51529645,61.9707543,33.43813394,49.19362659,58.36107636,34.52233028,7.900831072,-11.97236478,-4.368935954,21.10166675,7.894488918,19.38254279,61.90466011,74.8465457,83.78432787,80.99529931,55.35147092,29.93578299,12.99425619,3.787556664,5.95720862,36.72286089,76.78365388,90.51450561,63.5764592,49.04363467,53.86612225,58.54088225,78.1537368,94.04147872,86.96667428,62.10496627,47.33023099,37.62571351,20.89262292,13.10247705,42.35472134,84.10426865,96.38122294,108.4861875,108.7929984,95.00262889,97.8531511,111.3697369,130.1625092,144.7751737,130.7318917,89.70134135,46.95179712,24.50347757,1.927377836,-30.83050939,-60.98923068,-56.81830861,7.267830185,66.67270442,63.65823051,64.49413069,100.1053943,145.265637,161.9554957,173.6546162,185.7391126,177.1358627,133.7004368,120.3040125,147.3050585,174.7798053,169.4538823,143.650558,124.362029,130.3295013,156.4582306,165.8770927,146.559674,121.8066931,92.74209587,77.23688639,93.14448136,132.5214147,159.0335862,160.1515696,153.5959229,164.7258601,184.4503842,209.3562164,234.2126764,219.6123055,204.6847305,207.4003769,190.0753527,156.2444953,133.34399,129.3705536,119.0249912,103.1604383,99.21595651,116.0016905,138.4049236,161.3666386,175.9703822,183.9803495,211.1245848,214.9211532,204.7787239,236.642077,285.910074,312.0567481,278.5297364,196.6731294,185.5819662,212.8161102,215.4129451,213.8063176,231.0657954,274.9777213,330.6184543,363.9285837,351.5244469,316.1395325,299.6303407,313.061348,315.0663368,306.0603083,306.471904,290.3840316,242.0494902,197.9437059,192.6807528,181.9137472,190.9168804,208.4819033,201.6817978,222.7692126,242.3122056,241.3543987,261.4628268,346.3451258,383.8592962,345.4541238,338.4191767,374.6621524,368.8846598,307.6935438,277.2795969,284.0454947,272.4593149,236.6658646,223.5804314,190.951287,163.5296107,158.4884373,141.1902388,111.1205179,111.6592945,153.6992728,176.003263,110.1533958,57.70053426,85.49240562,122.3679421,142.7539581,173.9141698,224.8437243
6,Melanoma,112.3303076,139.3295195,164.1138765,151.9885291,104.2644709,69.53295368,43.58541423,24.10488383,16.04782693,-13.40077881,-28.33769559,2.649236086,25.42948754,40.06588917,44.98845636,26.27173173,19.2871284,19.61113497,14.45109751,33.87031716,64.59371469,73.08937157,40.09635887,-0.776142429,-20.67872099,-10.72728983,17.49466931,29.17428874,23.2032888,31.5065901,30.69368121,28.9560788,58.12055038,122.6588801,148.323608,113.3648205,78.9188196,62.50275534,51.50486364,36.13563981,32.10801538,28.19204718,11.79304277,-11.48838066,-15.35043519,-0.391609803,20.36153584,43.50158657,53.61038299,49.38108951,47.1845995,60.67207488,96.0347119,127.9929976,104.9539328,51.91825575,16.20358843,21.43955954,39.05853047,55.9274308,67.25742447,69.75722844,78.76787715,80.69485119,62.70680685,56.53049787,51.29843337,50.81548016,77.2273202,96.25384911,97.98751342,92.61303514,88.60663044,97.84733821,115.7361612,130.7522173,148.0455112,141.3216989,109.4807571,88.66971907,62.28951306,51.13949614,69.92624568,70.6375839,68.40292764,89.09289757,127.3261544,131.6109984,57.06118586,-44.07086828,-46.09134848,-6.19076854,16.48671249,19.95617652,41.36161008,71.8157477,98.14518694,113.8415573,100.9081971,86.81620682,90.01226279,90.42936071,83.0688467,70.47795626,53.8025494,32.17871347,25.52280386,29.20429774,28.46278693,43.75758688,54.42593989,48.46035732,40.42463413,26.26244329,31.20944587,64.90169096,93.65002922,117.3190158,119.9646025,100.1886283,109.7071775,141.2744105,180.081977,210.5998323,189.3799456,135.1793427,94.61147588,93.63060434,103.6089465,107.8220316,111.714324,117.3064492,68.70984162,5.600377243,-8.999395186,1.581510024,34.47608172,71.81926172,97.2039962,131.2222476,148.346828,156.3464348,187.5678756,212.445833,247.2382129,268.0876657,222.1895514,187.195258,164.8000964,123.5567808,78.49261818,97.70423924,139.0978371,152.1391653,177.098651,208.8443627,239.2882961,258.0426215,246.3347197,227.1897971,207.7209262,176.0753365,132.8269945,103.4932085,80.73482806,57.16288787,89.85716449,165.0898116,207.0968409,174.4609277,160.6084761,154.990287,133.3413252,117.0176334,134.1057098,135.2154784,121.3797015,140.0071043,126.1489779,109.1759356,123.351156,140.9465958,124.7312699,95.85308526,79.23532689,68.49462969,55.57965187,42.69685729,40.29684487,60.89173269,107.3774239,142.9261827,153.1878016,160.142137,144.5737175,129.5180322,130.8045011,129.972492,130.1531568,141.6563451,159.8504873
7,Melanoma,73.73787914,73.06359709,71.50527447,68.34439073,65.44151975,56.88501177,44.42849368,31.78212967,20.60847206,9.955323876,7.882693147,17.001124,22.52638438,28.64469952,32.89898185,24.5091429,16.95607723,8.476048044,-4.854839405,-5.973420157,11.45158521,31.2156266,26.07069571,1.777570211,-11.60048462,1.576212333,9.144478528,5.025603911,-0.567862718,1.488980454,4.049068206,11.7834504,30.70204369,47.21295689,42.38835827,25.90026488,28.06546492,33.41265806,27.07796306,13.31688008,13.76918393,21.6102926,24.18334734,17.46063762,5.108298134,-7.714129952,-11.9432974,1.748869858,8.637829722,-0.610335062,-7.684523086,4.654839897,22.35394718,24.24229237,9.97700356,2.138790402,4.976330301,7.253437165,12.31327011,23.95821604,33.19671531,24.78647348,19.03572987,18.76883461,17.64045822,26.36899,31.52755385,29.55767923,32.20606821,30.06414648,22.81391269,16.6170988,15.65984855,26.7513509,38.38267801,35.87448919,36.12556495,42.3918599,44.08996961,30.88599711,16.94775,17.25724179,34.66220693,53.98205787,50.09479731,31.26172333,25.59862122,21.359945,7.933446895,-4.37271282,7.426383133,27.31008009,31.78433397,17.10778352,10.5661639,23.71010115,42.44324759,47.73053247,52.64796478,51.67413663,41.15335752,32.5437013,27.37452679,31.81044344,39.94672205,26.35372787,15.05128507,15.78748665,19.83312918,34.77956431,35.27307334,16.89426026,6.423920841,-2.20553949,-4.326852682,5.724829748,19.37440889,26.29605282,23.66466013,16.74692363,14.41524668,19.96024382,32.86320201,47.28997651,50.83781578,48.5482995,40.87755303,24.05537852,23.23808772,26.59419698,22.92430042,26.5084817,16.68346278,3.942457141,6.28038556,10.62454148,23.0975302,34.0048173,30.91089926,32.16273983,37.61096181,39.44212227,39.04272569,53.14253434,59.84923625,47.99219383,38.6031561,44.98486336,57.71910478,62.31784082,53.59771367,33.63195108,39.78601178,77.76617142,89.67738334,85.57845053,83.16561816,84.73204667,80.70565384,64.59613606,56.99374806,67.01583772,53.71675894,35.88718705,32.0924502,35.33488468,31.81189192,39.09831123,50.70403734,44.62748644,39.93225522,35.09770737,35.9091108,53.92614398,69.95457553,80.25622337,83.95788865,79.13314184,77.25349424,73.92106447,66.47087358,58.85097234,42.73767634,29.10270546,28.43535343,35.68120989,40.21945539,42.20905207,48.84387015,60.73867408,57.31999099,40.03680288,23.7982911,17.45088885,12.22994296,4.54365009,-1.982753311,-1.687166019,6.225833605,15.81779718,17.75940657
8,Melanoma,182.8263689,200.0837992,198.3695315,182.5199533,166.5672331,127.090396,92.60253261,68.15871295,28.9697595,-7.1685511,3.496097824,58.88796893,71.06901984,51.13147572,38.51521088,45.77874686,43.40442947,21.45467809,-3.099400869,0.028238287,48.65345709,100.251785,78.79484048,15.72347009,-14.22900692,16.21076617,27.6815213,27.06759429,33.88222442,38.9477303,46.6425795,52.60988413,64.11140398,112.4313545,132.0101948,102.2224546,85.45681087,91.4417738,90.00154834,72.550174,90.49386878,105.262281,74.24501065,9.677350619,-22.2190857,-28.9111624,-39.26786734,-32.27313655,-9.85192354,3.300629847,-1.243919117,38.91508807,82.35215034,74.16227056,40.83302148,14.9984528,-3.496452339,-17.63679045,19.18807971,60.94346618,71.49115944,84.27497514,101.6029796,100.108426,72.57787762,58.04202852,28.44172161,-2.072245017,20.97709574,39.02278621,47.06720255,56.26701388,46.35700963,77.97236422,128.2433646,126.2866182,116.1698912,113.2490233,104.6796473,78.48847827,54.08698661,46.21475975,55.87895786,72.74103339,79.79641755,78.6626046,80.02739333,67.1449809,32.52541585,-5.817353761,-12.6193831,14.78665055,31.4285464,16.9698444,33.40708912,55.7885813,64.42433703,80.61655438,123.2133234,137.1291322,92.58216781,43.21736104,46.67572736,77.05530913,84.28031592,74.83061366,61.59328641,38.82162168,7.025736762,8.442307572,5.600001505,-1.665874263,32.96338532,39.43638462,29.30524032,43.87011203,74.07275802,94.54926808,82.98357616,53.14847397,62.8890105,86.58440916,123.2408402,188.2541135,218.8090894,209.8865076,168.8791954,104.0207794,83.10053347,70.58936151,37.3683155,34.76765909,35.52487873,38.51515273,50.50525739,49.79614486,80.02567631,105.146161,80.19681437,98.04691933,139.3069618,157.0542147,158.6374215,212.9912473,248.2046385,204.6487464,133.4642289,124.3268798,147.6771278,143.4690611,118.5464017,135.8798103,193.0903261,243.8341315,256.3328187,238.3763154,245.2896796,280.9829065,250.5759276,221.7648185,229.8188715,239.8852867,221.4881942,198.3186924,171.9711779,133.5908085,119.8403032,123.5395939,130.7898509,137.5730912,136.5207328,126.7143755,129.2512302,162.9413859,195.3703093,221.0746225,232.2540141,225.8073696,252.3845274,273.8804208,251.9790202,208.131847,177.0237955,139.3573174,101.991097,108.3404448,125.4730053,145.6136384,160.8748869,155.717912,160.6956554,158.3210043,144.6058533,142.9370812,107.3675678,58.60642877,42.82077677,61.04588269,52.66466938,69.32958485,118.6110406
9,Melanoma,41.72011681,37.46721025,39.38507589,44.54841284,48.22075905,46.95678569,35.87353708,23.69266706,22.99263743,16.48374355,10.42864666,13.00211569,6.893933216,1.502498655,4.072158008,6.751065716,1.51366976,-3.204889195,-0.062976494,-1.796318333,-0.593154933,5.502822519,4.276541991,-4.170662853,-6.045808382,4.753822704,7.875929437,6.694894941,6.389911124,3.825227817,4.146466285,6.695170259,10.43007056,20.60469713,19.99711503,9.565440936,11.17489404,11.40346113,7.21975287,6.430147337,11.98787248,15.1508431,11.70443861,6.01899787,-0.207748873,-3.288203803,0.728538615,10.32466647,8.247138291,-2.462410701,-3.008561923,-0.502244487,4.305261423,9.84944817,7.776256907,8.080626825,9.827564697,6.753951489,12.06212128,18.50506667,18.23836692,16.38879086,13.35483401,9.748125016,9.01818182,15.65565907,20.17928671,16.62488292,10.81891332,12.28693852,13.01008446,8.343377231,12.32726641,16.88489118,19.70342758,25.29060658,27.01951366,23.8357415,20.00482639,19.75348387,19.02436987,19.39978678,23.97582901,28.76802265,28.10622245,21.2970869,13.5794006,11.15410424,10.63241543,8.387269451,7.030614181,8.353107596,8.467794665,5.372729286,6.820603185,15.22829212,22.93344753,22.1398082,23.17550028,27.2559768,24.92884178,10.15685767,8.830640858,17.51671004,17.3429844,7.902835471,0.449423081,2.45966116,10.18853977,10.20696667,3.751009773,-2.209377342,-3.91554517,-2.735165109,0.515033531,3.974281129,5.13373673,9.839173234,11.91487866,5.399129284,3.951660175,15.65383671,29.49608148,30.92401571,32.03218348,33.58382691,30.88613025,24.20464843,22.42138834,22.76906248,21.35147484,20.73922403,14.49008911,8.341046315,7.936052842,5.494504505,12.05916058,21.37199856,22.4135201,30.82706652,36.72387243,35.38374842,34.88728268,35.29577276,36.52805666,35.0286036,27.84600514,25.99601242,25.80199099,26.08058992,34.52199085,36.52206132,37.00840367,43.32573085,46.72622282,52.29420854,54.20495464,50.02324893,54.81631518,53.96240733,43.17143886,33.4632544,31.66799697,27.09847229,22.64658444,27.01856588,28.1878587,31.13669135,34.46716251,30.88195369,28.83044706,28.16656269,29.85603421,36.58651623,41.69946899,44.98031879,45.59119673,42.85743744,46.74340908,51.73422746,47.28057989,34.17579989,31.72884123,32.21325388,26.93273602,22.51178338,21.28314093,20.84334536,23.82994684,33.09729035,29.88387374,21.24130192,17.68431155,14.69284716,7.75161224,-1.983182414,-4.719340435,6.938381515,13.76833014,12.91896862,9.603456057
10,Melanoma,60.56250852,53.51288172,56.99986996,56.33791496,39.55800546,27.41182771,19.83880814,14.78007942,11.82594216,-0.941361157,-8.257216169,5.209895327,21.06574321,19.67464174,5.877465603,2.634960536,6.236484982,8.242881495,7.267970517,11.84915566,17.13614447,16.33992265,8.384364769,-3.079605427,-8.057070904,-1.040388823,6.54408139,-0.020292598,-10.55561252,0.67974079,10.82763749,13.60563125,20.52473171,36.08081041,40.71211967,25.19797263,5.294240873,2.56489894,10.04999505,13.09963575,17.38350669,14.05542303,5.012850569,5.111993919,10.59846149,7.456874853,-0.814717746,15.50804955,28.17835926,24.87737088,23.94346762,27.25799897,34.65031009,40.0952512,32.51102844,23.54826581,20.40177353,18.4379903,11.8551399,20.61511615,42.30896207,40.65271861,26.92101624,13.3279345,5.673487734,11.60583348,22.90423223,25.44389057,18.0458136,32.62719525,45.74878236,35.1431935,33.51887273,36.62649694,42.17694474,52.47630592,50.86899614,39.04366407,28.69969551,25.8343239,17.76362747,13.5436721,23.30156682,29.58409703,31.82232316,33.11136517,34.13960156,35.00849344,13.2218423,-20.08007932,-13.02067203,9.713874046,24.80712661,24.74978128,9.037658178,6.319651085,16.68825642,17.6514973,22.44420183,20.56682133,14.48391621,27.82166594,32.33515474,33.38737427,41.18213321,29.03725061,13.78763123,7.98595036,5.205145603,-0.653965395,9.749620042,33.54597357,39.66790023,31.03916853,31.44267385,46.13518543,49.5443678,50.04807617,44.82811591,29.14953932,21.68706218,27.11368838,41.85241964,56.74202644,56.95623603,46.14533249,36.87219183,36.49021282,36.45337647,35.5982285,32.91096918,23.56895735,18.35208759,11.66036934,6.264415665,29.67775838,43.66929977,45.18079071,55.16056952,53.06893288,55.69380867,65.79601987,68.40982136,76.94324078,89.1258321,93.73328418,85.59279065,75.90970958,72.03880455,66.82018311,51.20625031,55.65477558,65.32640412,62.90033022,69.14314402,68.27919301,69.22520059,86.60222903,100.5601423,87.06129564,66.09537807,62.38058547,48.51425752,29.50730189,21.64039676,28.95666857,37.53708337,58.64863947,73.94065564,57.79340184,49.62571483,43.98484357,32.50616683,28.95005897,46.29271141,57.78643574,53.671576,51.97631228,46.3677353,45.52416106,50.26159623,46.1633769,33.43050995,32.12776713,39.81356924,30.16669515,15.19550961,14.41789585,27.84416721,39.17921566,52.72216868,61.10711076,55.93565042,40.14068889,24.08969213,16.4465088,21.96360819,38.88515717,55.8986798,73.22978217,82.2561644
