id,species,enc_id,rec_id,n,n10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
1,Ggr,105,2009-06-25a.WAV,37,4,0.000242982,0.0002566,0.000167995,0.000131155,0.000815698,0.00139781,0.001192894,0.001307036,0.001147301,0.000556973,0.001001053,0.00159431,0.001648486,0.002088895,0.002526326,0.002655938,0.002549774,0.003147916,0.002821015,0.002910916,0.003852009,0.005297904,0.006659214,0.006429638,0.007515268,0.008965417,0.009705999,0.010413686,0.012355915,0.014560592,0.016002651,0.017106148,0.017564643,0.017307227,0.016623217,0.016433457,0.016717543,0.015904797,0.015186681,0.016495957,0.018533398,0.020899727,0.022430419,0.02259355,0.021353923,0.019176368,0.017460787,0.01650575,0.016112323,0.015893242,0.015594107,0.015828575,0.017182537,0.018278991,0.018308689,0.017020296,0.015146287,0.01524536,0.016345337,0.017360023,0.017771373,0.017419295,0.017632644,0.018074461,0.017573045,0.017565874,0.01830203,0.018585214,0.018598025,0.017613724,0.015973754,0.015597133,0.016294679,0.016940264,0.01733933,0.016847117,0.016138465,0.016291827,0.016745251,0.017168815,0.016998953
2,Ggr,105,2009-06-25a.WAV,41,4,0.00029799,0.000254538,0.000169267,6.959107772197731e-05,0.000608045,0.001243278,0.001017955,0.001104979,0.001148096,0.000542549,0.000858019,0.001271434,0.001284996,0.001819845,0.002259226,0.002414882,0.002340865,0.002757509,0.002548483,0.002766564,0.003765595,0.005205679,0.006498108,0.006184396,0.007269356,0.008724583,0.009387624,0.010150999,0.012188095,0.014392562,0.01614106,0.017352066,0.017551822,0.017007744,0.016279926,0.016122854,0.016299664,0.015650383,0.015074638,0.016641585,0.0189694,0.021150413,0.022156116,0.022073633,0.02082668,0.018681291,0.017070551,0.016175247,0.015924226,0.015895122,0.015991704,0.016399179,0.01748026,0.018262867,0.018294087,0.017048121,0.015188444,0.015320039,0.016383462,0.017309883,0.017812979,0.017679205,0.018150973,0.01882611,0.018269818,0.018071321,0.018525246,0.018686635,0.018662106,0.017865043,0.016503682,0.016121673,0.01674648,0.017411247,0.017617361,0.017005275,0.016357763,0.016550995,0.017041837,0.017478475,0.017348205
3,Ttr,539,HF_20100922_085731.wav,7,1,4.1570828038532174e-05,0.000741489,0.001505604,0.002961648,0.00451007,0.005342055,0.005056625,0.004611809,0.004980261,0.004991089,0.004969612,0.005279214,0.005723113,0.006083331,0.006107761,0.005536064,0.00467418,0.004927863,0.006215173,0.007374428,0.008118081,0.008488906,0.008654612,0.009476683,0.011072486,0.012746845,0.014149832,0.015168918,0.015806817,0.016165485,0.016429092,0.016803535,0.01736035,0.01796764,0.018439751,0.018672913,0.018654295,0.018439811,0.018126439,0.017786503,0.017502743,0.017587001,0.017821065,0.017716168,0.017144135,0.016695877,0.016628549,0.016241616,0.015647886,0.015146548,0.014764595,0.014269339,0.013479637,0.012685373,0.012160751,0.012038133,0.012900175,0.013736884,0.014327258,0.014768511,0.015087947,0.01530043,0.015419809,0.015449519,0.015418073,0.015454872,0.015730662,0.016167284,0.016557809,0.01680234,0.016871067,0.016753652,0.016438452,0.015905073,0.015115977,0.014013846,0.012563894,0.010970041,0.010031111,0.010120182,0.010403764
4,Gme,459,Ob16C_20161006_104732_126.wav,4,0,0.006227747,0.005431736,0.004994807,0.006139763,0.007607538,0.008675685,0.009558624,0.010256781,0.010721973,0.010947274,0.01099032,0.010986434,0.011019692,0.011061295,0.011130394,0.010961351,0.010617574,0.012195875,0.013800545,0.014791335,0.015518408,0.016058215,0.016443607,0.016694061,0.016824016,0.016846338,0.016774573,0.016624858,0.016417371,0.016176772,0.015931729,0.0157147,0.015560467,0.015497262,0.015532917,0.015649567,0.015809935,0.015970741,0.016097091,0.016169257,0.016181873,0.016141571,0.016066004,0.01598261,0.015922699,0.015909214,0.015946444,0.016022693,0.016122355,0.016233819,0.016347666,0.016450861,0.01652482,0.016548731,0.016503714,0.016374528,0.016149081,0.015817196,0.015369595,0.014797556,0.014093735,0.013254709,0.012284517,0.011191414,0.009964843,0.008770445,0.008513868,0.009023356,0.009425787,0.009589762,0.009516886,0.00921038,0.008664245,0.007855348,0.006730521,0.005173503,0.002966413,0.000710252,2.7978507682332136e-05,0.000413611,0.000776768
5,Ggr,105,2009-06-25a.WAV,45,5,0.000224119,0.000213423,0.000194121,3.717698099721814e-05,0.000447427,0.00106666,0.000939769,0.001060801,0.001105297,0.000545296,0.000851911,0.00128243,0.00134641,0.00184145,0.00223931,0.002418059,0.002437889,0.002897005,0.00271415,0.00291438,0.003874852,0.005257716,0.006501441,0.006256978,0.007363164,0.008805541,0.009490993,0.010285402,0.012339391,0.014622631,0.016427659,0.017572098,0.017595806,0.016790632,0.015970434,0.015780414,0.015902506,0.015389559,0.015064204,0.016773902,0.019150422,0.021258059,0.022066394,0.021709347,0.020382601,0.018195718,0.016662216,0.01574089,0.015476518,0.015746491,0.016194324,0.016730858,0.017697775,0.018214375,0.018140118,0.016906421,0.015108662,0.015287306,0.016319153,0.017096498,0.017606351,0.017646544,0.018276899,0.019031645,0.018615748,0.018438074,0.018723509,0.018785844,0.018714706,0.017946911,0.016705916,0.01644798,0.017028193,0.017559426,0.017745364,0.017254324,0.016567373,0.016598261,0.01687976,0.01727279,0.017227827
6,Dde,524,HF_20100917_162823.wav,6,1,0.001072076,0.000977909,0.000383784,4.158541927326e-05,0.000352736,0.000672114,0.00150851,0.002424568,0.003178941,0.00379919,0.004413949,0.005103054,0.005814663,0.006460596,0.006989222,0.007374786,0.007607415,0.007692842,0.007651177,0.007473444,0.006978289,0.007617422,0.009137065,0.010272086,0.011262486,0.012169436,0.013004399,0.013766949,0.014454023,0.015063141,0.015593329,0.016045183,0.016420602,0.016722154,0.016951906,0.017109939,0.017193471,0.017197887,0.017120947,0.016971098,0.016773851,0.016551899,0.016291839,0.016068242,0.016157285,0.016452193,0.016656507,0.01672055,0.0166602,0.016487155,0.016209712,0.015848551,0.015484634,0.015262248,0.015188296,0.015122102,0.014983746,0.014778177,0.014591577,0.014545591,0.014619551,0.014697992,0.014731976,0.014746289,0.014827691,0.0150486,0.015347742,0.015607728,0.015762506,0.015787184,0.015673667,0.015439484,0.015183196,0.015025563,0.014881904,0.014734386,0.014975345,0.015482423,0.015903403,0.016224614,0.016420029
7,Ggr,335,PAM_20190628_123600_000.wav,182,18,0.000115651,3.672579318322819e-05,0.000469011,0.000871253,0.000907552,0.001076979,0.001450029,0.001744784,0.00216894,0.002930376,0.003417938,0.004091573,0.005160696,0.005913353,0.006391688,0.007309865,0.008487427,0.009494147,0.010544986,0.011703107,0.012756394,0.013731539,0.01467178,0.015494132,0.016149546,0.016690554,0.017109794,0.017358357,0.01742526,0.017332084,0.017138961,0.016925793,0.016769073,0.016720897,0.016901244,0.017510994,0.018392445,0.019160604,0.019642365,0.019832429,0.019783676,0.019575979,0.019314922,0.019072319,0.018815432,0.018484525,0.018124718,0.017750305,0.017302185,0.016753255,0.016140512,0.015392578,0.014328668,0.01308738,0.012223059,0.011790118,0.01123443,0.010482317,0.009909287,0.009769564,0.009987675,0.010627869,0.011451343,0.012241047,0.013004005,0.013812759,0.014411879,0.014659446,0.014610186,0.014336346,0.013995858,0.013246891,0.012276377,0.011978685,0.012736018,0.013571648,0.013903596,0.01379002,0.013115438,0.011465095,0.009442261
8,Gme,459,Ob16C_20161006_104732_126.wav,5,1,0.009713147,0.009731654,0.009751487,0.00979007,0.009830264,0.009833469,0.009746852,0.009465983,0.008804198,0.008253016,0.008670233,0.00910182,0.009457239,0.010120405,0.010884009,0.011434443,0.011688449,0.011574468,0.01069431,0.010116457,0.011419648,0.012239182,0.012853595,0.013372144,0.013820965,0.014240802,0.014627394,0.014923758,0.015083154,0.015097125,0.014992168,0.014831444,0.014714519,0.014748181,0.014992112,0.015426484,0.015969558,0.016528151,0.017036204,0.017460099,0.017788148,0.018021018,0.018166619,0.018238016,0.018252734,0.018232202,0.018200415,0.018181054,0.018192789,0.018243404,0.018325182,0.018415106,0.018481017,0.018489862,0.018413054,0.018227521,0.017914086,0.017454992,0.016831558,0.016022519,0.015004686,0.013762772,0.012331505,0.010896908,0.009817991,0.009341951,0.009338845,0.009456202,0.009405032,0.009036135,0.008280766,0.007077593,0.005302025,0.002547702,0.000790745,6.844919581675598e-05,0.001567659,0.003110368,0.003547017,0.003315968,0.002869724
9,Ttr,539,HF_20100922_085731.wav,4,0,0.003359365,0.001687078,0.000289784,0.001039462,0.003587443,0.004210752,0.004641283,0.007179107,0.008751692,0.009077049,0.008104828,0.006698684,0.007064187,0.00817329,0.008443075,0.008467461,0.007609847,0.007085075,0.008715174,0.009357396,0.008209845,0.008448169,0.007726764,0.008508255,0.011508443,0.012900116,0.01299674,0.012289264,0.012792892,0.014470341,0.015766141,0.016447822,0.016201488,0.016132327,0.017525497,0.017913503,0.016933928,0.016781342,0.016283517,0.015908197,0.015765891,0.01690816,0.018035722,0.018505576,0.018611025,0.018018187,0.017293532,0.017342847,0.017357904,0.017117352,0.017025117,0.016813645,0.01678236,0.016387634,0.015758066,0.014946789,0.014592754,0.014848037,0.014917617,0.014890927,0.014450695,0.013457529,0.012903292,0.012364644,0.012267032,0.012352874,0.011837779,0.012400394,0.013133545,0.013871885,0.01453795,0.014558936,0.014249025,0.013687667,0.012971819,0.012513913,0.012671135,0.012595593,0.011205585,0.01000044,0.010762508
10,Ttr,539,HF_20100922_085731.wav,8,1,6.293356582173196e-05,0.000656792,0.001611794,0.002460292,0.003219739,0.003883761,0.004545274,0.004922586,0.004534107,0.004081969,0.004697973,0.004898696,0.005102305,0.00551133,0.006103999,0.006596872,0.006781413,0.006865482,0.007298696,0.007830882,0.008286795,0.008823473,0.009809429,0.011106029,0.012247246,0.013055873,0.013517128,0.013620922,0.013522457,0.013609274,0.014145414,0.015105817,0.016158939,0.01692307,0.017281414,0.017342432,0.01734135,0.017462143,0.017679711,0.017752224,0.017436773,0.016597974,0.015497321,0.015327323,0.015926149,0.016472581,0.01672114,0.016724185,0.016591505,0.016233583,0.015631845,0.014891948,0.014372768,0.014410082,0.01477452,0.015024094,0.014858455,0.014895138,0.015592403,0.015765261,0.015490811,0.014939448,0.014089018,0.013616069,0.014153179,0.014244114,0.014175225,0.014139455,0.014214727,0.014378036,0.014492603,0.014457946,0.014219672,0.014023221,0.014141597,0.014518643,0.015272058,0.016106169,0.016539698,0.016462646,0.016122582
