id,class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,redSoil,0.117596,1.241362,1.184036,0.815302,-0.158561,1.256483,1.193546,0.818486,-0.141965,0.879481,0.67001,0.40102,0.05222,1.204523,1.181239,0.758245,-0.151111,1.214967,1.187378,0.598708,-0.136658,1.01113,0.899623,0.761977,-0.085593,1.211546,1.251179,0.807707,-0.069968,1.21916,1.250463,0.597678,-0.054291,1.233342,1.262255,0.603258
2,greySoil,1.146564,0.585831,0.342991,0.021553,0.947536,0.601074,0.353416,0.02655,1.788164,1.010702,0.910444,0.40102,1.375487,0.810648,0.941256,0.230039,1.104649,1.214967,0.409758,0.230975,1.126416,1.01113,0.7203,0.237614,1.387105,0.860711,0.528832,0.28115,1.412317,1.044084,0.532085,0.282612,1.438068,1.058033,0.842981,0.130923
3,dampGreySoil,-0.470385,-0.72523,-1.158877,-1.036778,-0.2323,-0.534967,-1.386853,-1.029365,-0.216201,-0.170284,-1.133242,-1.021446,-0.168324,-0.764851,-1.458571,-1.196119,-0.151111,-0.749664,-1.863286,-1.187424,0.160536,-0.430902,-1.431571,-1.178167,-0.159228,-0.367211,-1.277035,-0.929932,-0.144082,-0.181449,-1.0244,-1.082671,0.094945,-0.344432,-1.253394,-1.286082
4,cottonCrop,-1.719846,-2.03629,1.184036,2.349882,-1.707096,-2.239028,1.193546,2.560745,-1.700916,-2.138594,1.210986,2.561062,-1.859166,-2.165295,1.481217,2.818251,-1.997817,-2.27771,1.486463,2.647507,-1.845523,-2.135121,1.198494,2.649684,-1.85283,-2.296804,1.251179,2.966593,-1.84871,-2.151056,1.908976,2.750625,-1.845121,-2.272822,1.561738,2.755006
5,dampGreySoil,0.779075,0.323619,-0.498055,-0.825112,0.505098,0.164136,-0.486714,-0.659795,0.154978,0.004676,-0.712483,-0.810711,0.419794,0.15419,-0.858614,-0.826374,0.439835,0.167164,-0.60713,-0.819691,0.160536,0.180869,-0.594733,-0.811113,-0.232863,-0.191794,-1.156644,-1.035244,-0.218196,-0.181449,-1.383589,-1.240204,0.094945,-0.169124,-0.65443,-1.023674
6,greySoil,1.146564,0.585831,0.102692,-0.137197,1.168756,0.601074,0.653462,-0.131838,0.971571,0.835741,0.67001,0.032233,1.375487,0.985704,0.401295,0.230039,1.695595,0.996675,0.409758,0.230975,1.720804,1.01113,0.421429,0.027868,1.387105,1.036129,0.82981,0.28115,1.708774,1.044084,0.532085,0.12508,1.73654,1.058033,0.842981,0.288368
7,greySoil,0.999568,0.848043,0.342991,0.180303,1.021276,0.863238,0.653462,0.02655,1.045807,0.70452,0.129035,-0.178503,1.154943,0.810648,0.641278,0.230039,1.178517,0.996675,0.888293,0.230975,1.497908,0.617849,0.361655,0.027868,1.681645,0.992274,0.709419,0.228494,1.708774,1.000315,0.71168,0.230101,1.438068,0.838898,0.423706,0.025959
8,redSoil,-0.176394,1.19766,0.883663,0.603635,-0.158561,0.994319,1.193546,0.76569,-0.141965,1.010702,0.910444,0.611756,-0.388869,0.635593,0.401295,0.441321,-0.372716,0.996675,0.94811,0.598708,-0.359554,1.01113,0.959397,0.604668,-0.380132,0.509876,0.28805,0.28115,-0.366425,0.869008,0.831409,0.492656,-0.651234,0.882725,1.142463,0.498294
9,greySoil,1.367057,0.804341,0.403065,0.233219,1.684934,1.387565,0.713472,0.448916,1.713929,1.404364,0.970552,0.611756,1.375487,0.679357,0.281304,0.124397,1.400122,0.8657,0.828476,0.283508,1.42361,1.273318,1.13872,0.499795,1.387105,0.860711,0.589028,0.228494,1.11586,0.869008,0.831409,0.230101,1.438068,1.233342,0.842981,0.498294
10,redSoil,-0.249892,1.285064,1.063887,0.921135,0.062659,1.300177,1.373574,1.082464,0.080742,1.316883,1.391311,1.085912,-0.168324,1.248287,1.481217,0.969528,-0.151111,1.258626,1.845364,0.808841,-0.433852,1.273318,1.497365,0.814413,-0.453767,1.211546,1.491962,1.123642,-0.440539,1.21916,1.190598,0.755211,-0.128909,1.233342,1.501841,0.760703
