id,species,enc_id,rec_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90
1,BP,105,2009-06-25a.WAV,0.035805627,0.015345269,0,0,0,0,0,0,0,0,0,0,0,0,0.063938619,0.010230179,0,0,0,0.012787724,0.035805627,0.012787724,0.025575448,0.035805627,0.023017903,0.002557545,0.043478261,0.023017903,0,0,0,0,0,0,0.002557545,0.007672634,0.038363171,0.007672634,0.015345269,0.025575448,0.017902813,0.033248082,0,0,0,0.012787724,0.007672634,0,0,0.015345269,0.020460358,0.056265985,0.035805627,0.010230179,0.002557545,0.025575448,0.007672634,0.023017903,0.020460358,0,0,0,0.002557545,0,0.00511509,0.007672634,0.002557545,0.020460358,0.015345269,0.012787724,0.015345269,0.038363171,0.05370844,0.012787724,0.00511509,0.010230179,0.017902813,0.002557545,0,0,0.002557545,0,0.028132992,0.020460358,0,0,0,0,0,0
2,BP,17,MF20070721_060750.wav,0,0,0,0.028205128,0.012820513,0,0.005128205,0.012820513,0.025641026,0.005128205,0.007692308,0.005128205,0.030769231,0.012820513,0.01025641,0.012820513,0.015384615,0.030769231,0.01025641,0.015384615,0.012820513,0.020512821,0.028205128,0.005128205,0.002564103,0.012820513,0.023076923,0.012820513,0.01025641,0.01025641,0.017948718,0.017948718,0.012820513,0.015384615,0.012820513,0.020512821,0.005128205,0.01025641,0.002564103,0.007692308,0.020512821,0.020512821,0.012820513,0.005128205,0.007692308,0.017948718,0.012820513,0.01025641,0.01025641,0.017948718,0.007692308,0.007692308,0.01025641,0.015384615,0.017948718,0.007692308,0.005128205,0.005128205,0.015384615,0.007692308,0.007692308,0.01025641,0.01025641,0.017948718,0.01025641,0.015384615,0.007692308,0.015384615,0.025641026,0.012820513,0.002564103,0.007692308,0.017948718,0.007692308,0.01025641,0.007692308,0.017948718,0.020512821,0.005128205,0.01025641,0.002564103,0.012820513,0.005128205,0,0,0,0,0,0,0
3,BP,105,2009-06-25a.WAV,0,0,0,0,0,0.002583979,0.007751938,0.018087855,0.059431525,0.062015504,0.056847545,0,0.062015504,0.033591731,0.131782946,0.204134367,0.072351421,0.012919897,0.007751938,0.010335917,0.012919897,0.031007752,0.025839793,0,0.012919897,0.031007752,0.010335917,0,0,0.010335917,0.023255814,0.028423773,0.015503876,0,0,0,0.036175711,0.012919897,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BP,65,19950809_03_INV_Track1.wav,0,0,0,0,0,0,0,0,0,0,0,0.001257862,0.037735849,0,0,0,0,0.013836478,0.017610063,0,0.020125786,0.016352201,0,0,0,0.003773585,0.021383648,0.017610063,0.006289308,0.025157233,0.010062893,0.013836478,0.01509434,0.010062893,0.013836478,0.020125786,0.005031447,0.01509434,0.018867925,0.003773585,0.017610063,0.012578616,0.011320755,0.013836478,0.013836478,0.010062893,0.01509434,0.013836478,0.01509434,0.008805031,0.013836478,0.01509434,0.010062893,0.016352201,0.017610063,0.01509434,0.012578616,0.016352201,0.013836478,0.011320755,0.010062893,0.017610063,0.01509434,0.008805031,0.016352201,0.01509434,0.00754717,0.013836478,0.018867925,0.01509434,0.017610063,0.011320755,0.013836478,0.020125786,0.008805031,0.00754717,0.021383648,0.011320755,0.013836478,0.016352201,0.016352201,0.022641509,0.012578616,0.010062893,0.020125786,0.011320755,0.00754717,0.026415094,0.006289308,0.005031447
5,BP,67,19950719_01_INV_Track1.wav,0,0,0,0,0,0,0,0,0,0,0,0.001257862,0.037735849,0,0,0,0,0.013836478,0.017610063,0,0.020125786,0.016352201,0,0,0,0.003773585,0.021383648,0.017610063,0.006289308,0.025157233,0.010062893,0.013836478,0.01509434,0.010062893,0.013836478,0.020125786,0.005031447,0.01509434,0.018867925,0.003773585,0.017610063,0.012578616,0.011320755,0.013836478,0.013836478,0.010062893,0.01509434,0.013836478,0.01509434,0.008805031,0.013836478,0.01509434,0.010062893,0.016352201,0.017610063,0.01509434,0.012578616,0.016352201,0.013836478,0.011320755,0.010062893,0.017610063,0.01509434,0.008805031,0.016352201,0.01509434,0.00754717,0.013836478,0.018867925,0.01509434,0.017610063,0.011320755,0.013836478,0.020125786,0.008805031,0.00754717,0.021383648,0.011320755,0.013836478,0.016352201,0.016352201,0.022641509,0.012578616,0.010062893,0.020125786,0.011320755,0.00754717,0.026415094,0.006289308,0.005031447
6,BP,626,140611_0930_1.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0075,0.0075,0.0225,0.02,0.0275,0.025,0.025,0.015,0.03,0.02,0.04,0.03,0.0175,0.0175,0.0225,0.0225,0.0225,0.02,0.015,0.005,0,0.01,0.01,0.0125,0.005,0.02,0.005,0.02,0.0075,0.0175,0.02,0.015,0.0275,0.02,0.015,0.015,0.06,0.0375,0.015,0.01,0.01,0.01,0.01,0.0125,0.0025,0.01,0.0075,0.0075,0.0075,0.01,0.0025,0.015,0.005,0.01,0.0075,0.01,0.0025,0.0025,0.0075,0.0075,0.0125,0.0125,0.0025,0.01,0.005,0.005,0.005,0.0075,0.0175
7,BP,258,PAM_20160728_133919_519.wav,0.055445545,0.041584158,0.037623762,0.051485149,0.035643564,0.043564356,0.031683168,0.033663366,0.047524752,0.023762376,0.035643564,0.033663366,0.033663366,0.02970297,0.037623762,0.043564356,0.021782178,0.033663366,0.033663366,0.033663366,0.025742574,0.02970297,0.041584158,0.021782178,0.031683168,0.017821782,0.031683168,0.01980198,0.007920792,0.00990099,0.00990099,0.013861386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BP,107,2009-06-28a.wav,0,0.002557545,0,0.002557545,0.00511509,0.092071611,0.071611253,0,0,0,0.002557545,0.002557545,0,0.002557545,0,0,0.002557545,0,0,0.002557545,0.038363171,0.051150895,0.025575448,0.056265985,0,0,0,0,0,0,0,0,0,0,0,0.015345269,0.033248082,0.033248082,0.015345269,0.017902813,0.017902813,0.002557545,0.038363171,0.023017903,0.015345269,0.017902813,0.025575448,0,0,0,0,0.035805627,0.025575448,0.025575448,0.007672634,0.015345269,0.012787724,0.023017903,0,0,0,0,0,0,0,0.002557545,0.015345269,0.025575448,0.028132992,0.017902813,0.007672634,0.010230179,0.015345269,0.020460358,0.023017903,0,0,0,0,0,0,0.017902813,0.023017903,0.020460358,0.002557545,0.002557545,0.00511509,0.002557545,0,0
9,BP,109,2009-07-01a.wav,0,0.002557545,0,0.002557545,0.00511509,0.092071611,0.071611253,0,0,0,0.002557545,0.002557545,0,0.002557545,0,0,0.002557545,0,0,0.002557545,0.038363171,0.051150895,0.025575448,0.056265985,0,0,0,0,0,0,0,0,0,0,0,0.015345269,0.033248082,0.033248082,0.015345269,0.017902813,0.017902813,0.002557545,0.038363171,0.023017903,0.015345269,0.017902813,0.025575448,0,0,0,0,0.035805627,0.025575448,0.025575448,0.007672634,0.015345269,0.012787724,0.023017903,0,0,0,0,0,0,0,0.002557545,0.015345269,0.025575448,0.028132992,0.017902813,0.007672634,0.010230179,0.015345269,0.020460358,0.023017903,0,0,0,0,0,0,0.017902813,0.023017903,0.020460358,0.002557545,0.002557545,0.00511509,0.002557545,0,0
10,BP,109,2009-07-01a.wav,0.017948718,0.082051282,0.043589744,0.033333333,0.028205128,0.033333333,0.012820513,0.012820513,0.012820513,0,0,0,0,0,0,0,0,0,0.002564103,0.007692308,0.01025641,0.020512821,0.033333333,0.030769231,0.015384615,0.007692308,0.012820513,0.020512821,0.012820513,0.017948718,0.012820513,0.023076923,0.007692308,0.007692308,0.007692308,0.020512821,0.015384615,0.015384615,0.023076923,0.017948718,0.01025641,0.01025641,0.015384615,0.015384615,0.005128205,0.015384615,0.017948718,0.005128205,0.01025641,0.01025641,0.012820513,0.012820513,0.007692308,0.01025641,0.007692308,0.007692308,0.017948718,0.017948718,0.01025641,0.017948718,0.020512821,0.017948718,0.005128205,0.007692308,0.012820513,0.005128205,0.007692308,0.007692308,0.012820513,0.012820513,0.002564103,0.005128205,0,0.012820513,0.002564103,0.002564103,0.002564103,0.002564103,0,0,0,0,0,0,0,0,0,0,0,0
